takilman,"	takilmen
"
sari,"	saris
"
disembody,"	disembodies
"
versatility,"	versatilities
"
dextrality,"	dextralities
"
cassino,"	cassinoes
"
supplicate,"	supplicates
"
proliferate,"	proliferates
"
pavage,"	pavages
"
embroideress,"	embroideresses
"
shandy,"	shandies
"
eccyesis,"	eccyeses
"
irony,"	ironies
"
miniaturise,"	miniaturises
"
hemorrhoidectomy,"	hemorrhoidectomies
"
hypothetically,"	hypotheticallies
"
ootid,"	ootids
"
fogy,"	fogies
"
inflammability,"	inflammabilities
"
heterogeneity,"	heterogeneities
"
longness,"	longnesses
"
nanny,"	nannies
"
infidel,"	infidels
"
ambiguity,"	ambiguities
"
stridency,"	stridencies
"
blepharism,"	blepharisms
"
hubby,"	hubbies
"
reproach,"	reproaches
"
filch,"	filches
"
fineness,"	finenesses
"
flutist,"	flutists
"
microphage,"	microphages
"
booty,"	booties
"
thyromegaly,"	thyromegalies
"
calumniatory,"	calumniatories
"
acceptability,"	acceptabilities
"
slavery,"	slaveries
"
adenosis,"	adenoses
"
fallibility,"	fallibilities
"
scrimy,"	scrimies
"
geostrategy,"	geostrategies
"
mourning,"	mournings
"
oximeter,"	oximeters
"
reluctivity,"	reluctivities
"
grindle,"	grindles
"
navigability,"	navigabilities
"
canvass,"	canvasses
"
characterless,"	characterlesses
"
pungency,"	pungencies
"
greyly,"	greylies
"
colostomy,"	colostomies
"
leash,"	leashes
"
leopardess,"	leopardesses
"
acceptableness,"	acceptablenesses
"
immaculateness,"	immaculatenesses
"
tangency,"	tangencies
"
stupefy,"	stupefies
"
historicalness,"	historicalnesses
"
rousseau,"	rousseaux
"
bedraggle,"	bedraggles
"
culpableness,"	culpablenesses
"
skepticism,"	skepticisms
"
cram,"	crams
"
cachexia,"	cachexias
"
glycol,"	glycols
"
tenpin,"	tenpins
"
clusia,"	clusias
"
despondent,"	despondents
"
spininess,"	spininesses
"
gabor,"	gabors
"
porphyry,"	porphyries
"
investigation,"	investigations
"
graininess,"	graininesses
"
trionyx,"	trionyxes
"
secretiveness,"	secretivenesses
"
psoriasis,"	psoriases
"
shawny,"	shawnies
"
pseudohermaphroditism,"	pseudohermaphroditisms
"
realty,"	realties
"
shrewdness,"	shrewdnesses
"
gratefulness,"	gratefulnesses
"
maachah,"	maachahs
"
spondylolisthesis,"	spondylolistheses
"
bubbliness,"	bubblinesses
"
houseless,"	houselesses
"
iceman,"	icemen
"
housebound,"	housebounds
"
roccella,"	roccellas
"
amiability,"	amiabilities
"
passamaquody,"	passamaquodies
"
decor,"	decors
"
typographer,"	typographers
"
geococcyx,"	geococcyxes
"
contiguity,"	contiguities
"
forthrightness,"	forthrightnesses
"
brashness,"	brashnesses
"
hurl,"	hurls
"
thinness,"	thinnesses
"
fetichism,"	fetichisms
"
blameless,"	blamelesses
"
refashion,"	refashions
"
dryas,"	dryass
"
schoolmaster,"	schoolmasters
"
comprehensiveness,"	comprehensivenesses
"
sweatbox,"	sweatboxes
"
panoply,"	panoplies
"
thorax,"	thoraxes
"
gallfly,"	gallflies
"
withdrawnness,"	withdrawnnesses
"
ilx,"	ilxes
"
thurify,"	thurifies
"
alikeness,"	alikenesses
"
gash,"	gashes
"
search,"	searches
"
clobber,"	clobbers
"
desirability,"	desirabilities
"
spiny,"	spinies
"
gleefulness,"	gleefulnesses
"
mujahidin,"	mujahidins
"
bulbul,"	bulbuls
"
simmpleness,"	simmplenesses
"
meninx,"	meninges
"
sandbur,"	sandburs
"
goldman,"	goldmen
"
reality,"	realities
"
suddenness,"	suddennesses
"
necessity,"	necessities
"
vaux,"	vauxes
"
lawyerbush,"	lawyerbushes
"
slumbery,"	slumberies
"
cussedness,"	cussednesses
"
mayakovski,"	mayakovskis
"
purposefulness,"	purposefulnesses
"
contriteness,"	contritenesses
"
poetry,"	poetries
"
apply,"	applies
"
mulch,"	mulches
"
matriarchy,"	matriarchies
"
worthiness,"	worthinesses
"
pertussis,"	pertusses
"
pyrochemistry,"	pyrochemistries
"
extensiveness,"	extensivenesses
"
heed,"	heeds
"
unprotectedness,"	unprotectednesses
"
dostoyevsky,"	dostoyevskies
"
yarman,"	yarmen
"
value,"	values
"
runtiness,"	runtinesses
"
wholeheartedness,"	wholeheartednesses
"
celibacy,"	celibacies
"
quantity,"	quantities
"
aposiopesis,"	aposiopeses
"
primitiveness,"	primitivenesses
"
caricaturist,"	caricaturists
"
gera,"	geras
"
micromyx,"	micromyxes
"
bertillon,"	bertillons
"
burgess,"	burgesses
"
caudex,"	caudexes
"
bonyness,"	bonynesses
"
tottery,"	totteries
"
fax,"	faxes
"
defunctness,"	defunctnesses
"
cephalometry,"	cephalometries
"
dutch,"	dutches
"
innkeeper,"	innkeepers
"
travelog,"	travelogs
"
semiquaver,"	semiquavers
"
heaven,"	heavens
"
allis,"	alliss
"
bathymetry,"	bathymetries
"
sweet,"	sweets
"
sureness,"	surenesses
"
exigency,"	exigencies
"
churl,"	churls
"
tamarin,"	tamarins
"
ogcocephalidae,"	ogcocephalidaes
"
transport,"	transports
"
promptness,"	promptnesses
"
research,"	research
"
melody,"	melodies
"
defeator,"	defeators
"
uppishness,"	uppishnesses
"
misogyny,"	misogynies
"
pericardiac,"	pericardiacs
"
ryegrass,"	ryegrasses
"
visibleness,"	visiblenesses
"
jeweler,"	jewelers
"
restrictiveness,"	restrictivenesses
"
bombie,"	bombies
"
video,"	videos
"
cloggy,"	cloggies
"
prag,"	prags
"
phalacrocorax,"	phalacrocoraxes
"
lymphoma,"	lymphomata
"
heptane,"	heptanes
"
habanera,"	habaneras
"
anuresis,"	anureses
"
intricacy,"	intricacies
"
heterometaboly,"	heterometabolies
"
access,"	accesses
"
coleus,"	coleuss
"
host,"	hosts
"
consanguinity,"	consanguinities
"
jolty,"	jolties
"
czarina,"	czarinas
"
anorthography,"	anorthographies
"
calostomataceae,"	calostomataceaes
"
mow,"	mows
"
terminology,"	terminologies
"
kildeer,"	kildeer
"
bosch,"	bosches
"
sigler,"	siglers
"
student,"	students
"
counterperson,"	counterpeople
"
venality,"	venalities
"
nephroptosis,"	nephroptoses
"
cis,"	ces
"
lemmus,"	lemmuss
"
impossibleness,"	impossiblenesses
"
glengarry,"	glengarries
"
perversity,"	perversities
"
imprecision,"	imprecisions
"
czech,"	czeches
"
haydn,"	haydns
"
aerophyte,"	aerophytes
"
truly,"	trulies
"
toxicity,"	toxicities
"
hallucinosis,"	hallucinoses
"
liveness,"	livenesses
"
childless,"	childlesses
"
dentifrice,"	dentifrices
"
headman,"	headmen
"
hazy,"	hazies
"
phalanx,"	phalanges
"
irreversibility,"	irreversibilities
"
silicosis,"	silicoses
"
confederacy,"	confederacies
"
ballock,"	ballocks
"
transgress,"	transgresses
"
quiddity,"	quiddities
"
kylix,"	kylixes
"
matchmaker,"	matchmakers
"
viagra,"	viagras
"
hung,"	hungs
"
serviceman,"	servicemen
"
bernoulli,"	bernoullis
"
charcuterie,"	charcuteries
"
chaenopsis,"	chaenopses
"
hylactophryne,"	hylactophrynes
"
mediety,"	medieties
"
jesuitry,"	jesuitries
"
palpation,"	palpations
"
benthal,"	benthals
"
viscousness,"	viscousnesses
"
gluiness,"	gluinesses
"
mishmash,"	mishmashes
"
campeau,"	campeaux
"
compsognathus,"	compsognathuss
"
terra,"	terras
"
chemisorption,"	chemisorptions
"
haemosiderosis,"	haemosideroses
"
chlamydospore,"	chlamydospores
"
distressfulness,"	distressfulnesses
"
woodbury,"	woodburies
"
compassionate,"	compassionates
"
immunopathology,"	immunopathologies
"
brooke,"	brookes
"
graveness,"	gravenesses
"
japery,"	japeries
"
motorless,"	motorlesses
"
chaffinch,"	chaffinches
"
faculty,"	faculties
"
analbuminemia,"	analbuminemias
"
plasmodiophoraceae,"	plasmodiophoraceaes
"
kurux,"	kuruxes
"
burdensomeness,"	burdensomenesses
"
sexiness,"	sexinesses
"
humanness,"	humannesses
"
reg,"	regs
"
astheny,"	asthenies
"
impetuousness,"	impetuousnesses
"
perspicuity,"	perspicuities
"
ahorse,"	ahorses
"
tinca,"	tincas
"
meritoque,"	meritoques
"
thermopsis,"	thermopses
"
hydrofoil,"	hydrofoils
"
breezelessness,"	breezelessnesses
"
denigratory,"	denigratories
"
microsurgery,"	microsurgeries
"
technology,"	technologies
"
thicket,"	thickets
"
mononucleosis,"	mononucleoses
"
county,"	counties
"
fiberglass,"	fiberglasses
"
bury,"	buries
"
soundlessness,"	soundlessnesses
"
incorrectness,"	incorrectnesses
"
proteinuria,"	proteinurias
"
boney,"	boneys
"
dumpy,"	dumpies
"
universalism,"	universalisms
"
confrontation,"	confrontations
"
scentless,"	scentlesses
"
antefix,"	antefixes
"
goodem,"	goodems
"
overstuff,"	overstuffs
"
therapy,"	therapies
"
coccidiomycosis,"	coccidiomycoses
"
letch,"	letches
"
smoothness,"	smoothnesses
"
bergman,"	bergmen
"
upholstery,"	upholsteries
"
anthropolatry,"	anthropolatries
"
superiority,"	superiorities
"
kelli,"	kellis
"
sash,"	sashes
"
inclementness,"	inclementnesses
"
thoracotomy,"	thoracotomies
"
menorah,"	menorahs
"
runny,"	runnies
"
hawthorne,"	hawthornes
"
acervate,"	acervates
"
mercifulness,"	mercifulnesses
"
poss,"	posses
"
aagh,"	aaghs
"
anemography,"	anemographies
"
crossness,"	crossnesses
"
inaudibleness,"	inaudiblenesses
"
cranberry,"	cranberries
"
amoebiosis,"	amoebioses
"
botch,"	botches
"
lepidopterology,"	lepidopterologies
"
liebfraumilch,"	liebfraumilches
"
grayly,"	graylies
"
trafficking,"	traffickings
"
accountant,"	accountants
"
whereby,"	wherebies
"
atarax,"	ataraxes
"
vileness,"	vilenesses
"
complexly,"	complexlies
"
zoic,"	zoics
"
errorless,"	errorlesses
"
achromaticity,"	achromaticities
"
perinatology,"	perinatologies
"
paleoethnography,"	paleoethnographies
"
lethality,"	lethalities
"
bawdy,"	bawdies
"
feature,"	features
"
melanize,"	melanizes
"
chairman,"	chairmen
"
haemostasis,"	haemostases
"
retroflex,"	retroflexes
"
nonuniformity,"	nonuniformities
"
bondwoman,"	bondwomen
"
livy,"	livies
"
transposability,"	transposabilities
"
demagogy,"	demagogies
"
smarmy,"	smarmies
"
gingery,"	gingeries
"
cynipidae,"	cynipidaes
"
earnestness,"	earnestnesses
"
scurrility,"	scurrilities
"
macdowell,"	macdowells
"
pooch,"	pooches
"
redberry,"	redberries
"
pellucid,"	pellucids
"
disapprobation,"	disapprobations
"
stupidity,"	stupidities
"
idealization,"	idealizations
"
quackgrass,"	quackgrasses
"
coerce,"	coerces
"
kinesthesis,"	kinestheses
"
favorableness,"	favorablenesses
"
inaccuracy,"	inaccuracies
"
hemodialysis,"	hemodialyses
"
theca,"	thecas
"
serranid,"	serranids
"
inaction,"	inactions
"
pertinent,"	pertinents
"
brattish,"	brattishes
"
deflate,"	deflates
"
smuttiness,"	smuttinesses
"
preciousness,"	preciousnesses
"
culpability,"	culpabilities
"
pantaloon,"	pantaloons
"
acousma,"	acousmas
"
stove,"	stoves
"
pulseless,"	pulselesses
"
harass,"	harasses
"
teentsy,"	teentsies
"
savior,"	saviors
"
seaman,"	seamen
"
idiolatry,"	idiolatries
"
potash,"	potashes
"
hindustan,"	hindustans
"
lombardy,"	lombardies
"
jihadi,"	jihadis
"
healthfulness,"	healthfulnesses
"
pimply,"	pimplies
"
communicatory,"	communicatories
"
humourless,"	humourlesses
"
youthfulness,"	youthfulnesses
"
meloid,"	meloids
"
liberty,"	liberties
"
benignity,"	benignities
"
bookbindery,"	bookbinderies
"
underclass,"	underclasses
"
ferny,"	fernies
"
jaffa,"	jaffas
"
pickaninny,"	pickaninnies
"
scrumpy,"	scrumpies
"
harmfulness,"	harmfulnesses
"
imaum,"	imaums
"
glassless,"	glasslesses
"
cody,"	codies
"
triggerman,"	triggermen
"
malacca,"	malaccas
"
ravioli,"	raviolis
"
signify,"	signifies
"
broadness,"	broadnesses
"
l,"	ls
"
hatefulness,"	hatefulnesses
"
falange,"	falanges
"
massicot,"	massicots
"
musky,"	muskies
"
wry,"	wries
"
pastness,"	pastnesses
"
lightsomeness,"	lightsomenesses
"
serviette,"	serviettes
"
lawman,"	lawmen
"
hush,"	hushes
"
event,"	events
"
caporetto,"	caporettoes
"
shiism,"	shiisms
"
drifter,"	drifters
"
kitsch,"	kitsches
"
taxonomer,"	taxonomers
"
eelgrass,"	eelgrasses
"
seigneury,"	seigneuries
"
castilleia,"	castilleias
"
chrism,"	chrisms
"
meticulousness,"	meticulousnesses
"
piracy,"	piracies
"
delist,"	delists
"
cleanness,"	cleannesses
"
titivate,"	titivates
"
approach,"	approaches
"
meantime,"	meantimes
"
busty,"	busties
"
smogginess,"	smogginesses
"
tribesman,"	tribesmen
"
sandglass,"	sandglasses
"
manichaeanism,"	manichaeanisms
"
elephantiasis,"	elephantiases
"
rusticity,"	rusticities
"
tawdry,"	tawdries
"
smartness,"	smartnesses
"
forcefulness,"	forcefulnesses
"
notecase,"	notecases
"
symmetricalness,"	symmetricalnesses
"
multivalency,"	multivalencies
"
octopoda,"	octopodas
"
golosh,"	goloshes
"
delouse,"	delice
"
squattiness,"	squattinesses
"
scarceness,"	scarcenesses
"
sensory,"	sensories
"
ferryman,"	ferrymen
"
inns,"	innss
"
brass,"	brasses
"
epiphenomenon,"	epiphenomenons
"
desiccate,"	desiccates
"
flyswatter,"	flyswatters
"
bosky,"	boskies
"
chemosis,"	chemoses
"
coherency,"	coherencies
"
humorousness,"	humorousnesses
"
thickly,"	thicklies
"
lubricity,"	lubricities
"
laparotomy,"	laparotomies
"
stagnancy,"	stagnancies
"
holography,"	holographies
"
prox,"	proxes
"
paralepsis,"	paralepses
"
tech,"	teches
"
spectrometry,"	spectrometries
"
morphophysiology,"	morphophysiologies
"
roneo,"	roneos
"
macrocytosis,"	macrocytoses
"
amalgam,"	amalgams
"
entice,"	entices
"
hyperidrosis,"	hyperidroses
"
sauria,"	saurias
"
blastomycosis,"	blastomycoses
"
eisegesis,"	eisegeses
"
cryocautery,"	cryocauteries
"
deerberry,"	deerberries
"
whitewash,"	whitewashes
"
insalubrity,"	insalubrities
"
lecherousness,"	lecherousnesses
"
meat,"	meat
"
verticality,"	verticalities
"
chunnel,"	chunnels
"
incapableness,"	incapablenesses
"
outlawry,"	outlawries
"
comity,"	comities
"
ophthalmoscopy,"	ophthalmoscopies
"
bench,"	benches
"
heterozygosity,"	heterozygosities
"
lamp,"	lamps
"
thereness,"	therenesses
"
contentiousness,"	contentiousnesses
"
undulatory,"	undulatories
"
voracity,"	voracities
"
rowdy,"	rowdies
"
abstract,"	abstracts
"
raggedness,"	raggednesses
"
trinity,"	trinities
"
packaging,"	packagings
"
shadowbox,"	shadowboxes
"
kronecker,"	kroneckers
"
topolatry,"	topolatries
"
decriminalisation,"	decriminalisations
"
imperfectibility,"	imperfectibilities
"
squalidae,"	squalidaes
"
foetid,"	foetids
"
mummy,"	mummies
"
asexuality,"	asexualities
"
rockwell,"	rockwells
"
uncle,"	uncles
"
doubtless,"	doubtlesses
"
chirography,"	chirographies
"
choragic,"	choragics
"
jocosity,"	jocosities
"
phoney,"	phoneys
"
mummery,"	mummeries
"
nilpotent,"	nilpotents
"
shutout,"	shutouts
"
calcuttan,"	calcuttans
"
paraparesis,"	parapareses
"
spokesperson,"	spokespeople
"
studiousness,"	studiousnesses
"
sodomy,"	sodomies
"
crux,"	cruxes
"
predigest,"	predigests
"
dullness,"	dullnesses
"
idleness,"	idlenesses
"
eruption,"	eruptions
"
excavate,"	excavates
"
dementedness,"	dementednesses
"
maty,"	maties
"
wash,"	washes
"
wheelbarrow,"	wheelbarrows
"
strenuousness,"	strenuousnesses
"
bendability,"	bendabilities
"
basso,"	bassi
"
activity,"	activities
"
toxoplasmosis,"	toxoplasmoses
"
boniness,"	boninesses
"
winless,"	winlesses
"
pitch,"	pitches
"
polyploid,"	polyploids
"
agranulocytosis,"	agranulocytoses
"
anarchism,"	anarchisms
"
spasmolysis,"	spasmolyses
"
hysteresis,"	hystereses
"
smallness,"	smallnesses
"
oversee,"	oversees
"
symbiosis,"	symbioses
"
cheesy,"	cheesies
"
tumidity,"	tumidities
"
palaeobiology,"	palaeobiologies
"
queasiness,"	queasinesses
"
curtsy,"	curtsies
"
haziness,"	hazinesses
"
inhumanity,"	inhumanities
"
disquisition,"	disquisitions
"
lush,"	lushes
"
allure,"	allures
"
shrubbery,"	shrubberies
"
intercommunicate,"	intercommunicates
"
drama,"	dramata
"
calyculate,"	calyculates
"
montenegro,"	montenegroes
"
divinity,"	divinities
"
cowardliness,"	cowardlinesses
"
reconsideration,"	reconsiderations
"
ochlocracy,"	ochlocracies
"
acidulousness,"	acidulousnesses
"
counterspy,"	counterspies
"
lazy,"	lazies
"
microevolution,"	microevolutions
"
encasement,"	encasements
"
enlarge,"	enlarges
"
fertility,"	fertilities
"
excitatory,"	excitatories
"
deftness,"	deftnesses
