takilman,"	
"
sari,"	s
"
disembody,"	ies
"
versatility,"	ies
"
dextrality,"	ies
"
cassino,"	s
"
supplicate,"	s
"
proliferate,"	s
"
pavage,"	s
"
embroideress,"	es
"
shandy,"	ies
"
eccyesis,"	es
"
irony,"	ies
"
miniaturise,"	s
"
hemorrhoidectomy,"	ies
"
hypothetically,"	ies
"
ootid,"	s
"
fogy,"	ies
"
inflammability,"	ies
"
heterogeneity,"	ies
"
longness,"	es
"
nanny,"	ies
"
infidel,"	s
"
ambiguity,"	ies
"
stridency,"	ies
"
blepharism,"	s
"
hubby,"	ies
"
reproach,"	es
"
filch,"	es
"
fineness,"	es
"
flutist,"	s
"
microphage,"	s
"
booty,"	ies
"
thyromegaly,"	ies
"
calumniatory,"	ies
"
acceptability,"	ies
"
slavery,"	ies
"
adenosis,"	es
"
fallibility,"	ies
"
scrimy,"	ies
"
geostrategy,"	ies
"
mourning,"	s
"
oximeter,"	s
"
reluctivity,"	ies
"
grindle,"	s
"
navigability,"	ies
"
canvass,"	es
"
characterless,"	es
"
pungency,"	ies
"
greyly,"	ies
"
colostomy,"	ies
"
leash,"	es
"
leopardess,"	es
"
acceptableness,"	es
"
immaculateness,"	es
"
tangency,"	ies
"
stupefy,"	ies
"
historicalness,"	es
"
rousseau,"	
"
bedraggle,"	s
"
culpableness,"	es
"
skepticism,"	s
"
cram,"	s
"
cachexia,"	s
"
glycol,"	s
"
tenpin,"	s
"
clusia,"	s
"
despondent,"	s
"
spininess,"	es
"
gabor,"	s
"
porphyry,"	ies
"
investigation,"	s
"
graininess,"	es
"
trionyx,"	es
"
secretiveness,"	es
"
psoriasis,"	es
"
shawny,"	ies
"
pseudohermaphroditism,"	s
"
realty,"	ies
"
shrewdness,"	es
"
gratefulness,"	es
"
maachah,"	s
"
spondylolisthesis,"	es
"
bubbliness,"	es
"
houseless,"	es
"
iceman,"	
"
housebound,"	s
"
roccella,"	s
"
amiability,"	ies
"
passamaquody,"	ies
"
decor,"	s
"
typographer,"	s
"
geococcyx,"	es
"
contiguity,"	ies
"
forthrightness,"	es
"
brashness,"	es
"
hurl,"	s
"
thinness,"	es
"
fetichism,"	s
"
blameless,"	es
"
refashion,"	s
"
dryas,"	s
"
schoolmaster,"	s
"
comprehensiveness,"	es
"
sweatbox,"	es
"
panoply,"	ies
"
thorax,"	es
"
gallfly,"	ies
"
withdrawnness,"	es
"
ilx,"	es
"
thurify,"	ies
"
alikeness,"	es
"
gash,"	es
"
search,"	es
"
clobber,"	s
"
desirability,"	ies
"
spiny,"	ies
"
gleefulness,"	es
"
mujahidin,"	s
"
bulbul,"	s
"
simmpleness,"	es
"
meninx,"	es
"
sandbur,"	s
"
goldman,"	
"
reality,"	ies
"
suddenness,"	es
"
necessity,"	ies
"
vaux,"	es
"
lawyerbush,"	es
"
slumbery,"	ies
"
cussedness,"	es
"
mayakovski,"	s
"
purposefulness,"	es
"
contriteness,"	es
"
poetry,"	ies
"
apply,"	ies
"
mulch,"	es
"
matriarchy,"	ies
"
worthiness,"	es
"
pertussis,"	es
"
pyrochemistry,"	ies
"
extensiveness,"	es
"
heed,"	s
"
unprotectedness,"	es
"
dostoyevsky,"	ies
"
yarman,"	
"
value,"	s
"
runtiness,"	es
"
wholeheartedness,"	es
"
celibacy,"	ies
"
quantity,"	ies
"
aposiopesis,"	es
"
primitiveness,"	es
"
caricaturist,"	s
"
gera,"	s
"
micromyx,"	es
"
bertillon,"	s
"
burgess,"	es
"
caudex,"	es
"
bonyness,"	es
"
tottery,"	ies
"
fax,"	es
"
defunctness,"	es
"
cephalometry,"	ies
"
dutch,"	es
"
innkeeper,"	s
"
travelog,"	s
"
semiquaver,"	s
"
heaven,"	s
"
allis,"	s
"
bathymetry,"	ies
"
sweet,"	s
"
sureness,"	es
"
exigency,"	ies
