idle,idles
jocularity,jocularities
turritis,turritis
acidification,acidifications
thrombolysis,thrombolyses
phaius,phaiuss
hysteroscopy,hysteroscopies
pelecanoididae,pelecanoididaes
internalise,internalises
pudgy,pudgies
intriguing,intriguings
ratsbane,ratsbanes
halevy,halevies
tallgrass,tallgrasses
absurdity,absurdities
hemangioma,hemangiomas
detergency,detergencies
lusterlessness,lusterlessnesses
availableness,availablenesses
destiny,destinies
tenosynovitis,tenosynovitis
anhedonia,anhedonias
compatriot,compatriots
anaphora,anaphoras
rhesus,rhesuss
conspicuousness,conspicuousnesses
excite,excites
goldenbush,goldenbushes
chantry,chantries
suppository,suppositories
inclemency,inclemencies
withdrew,withdrews
presbytery,presbyteries
biogeny,biogenies
amr,amrs
softy,softies
cytisus,cytisuss
mesocricetus,mesocricetuss
apotheosis,apotheoses
mandeanism,mandeanisms
metastability,metastabilities
mirthfulness,mirthfulnesses
hebetude,hebetudes
kabob,kabobs
glorify,glorifies
cholelithotomy,cholelithotomies
staleness,stalenesses
heartiness,heartinesses
fib,fibs
pollenation,pollenations
mealberry,mealberries
obscenity,obscenities
rhinitis,rhinitis
chasteness,chastenesses
abrasiveness,abrasivenesses
macedon,macedons
solidity,solidities
mesentery,mesenteries
scullery,sculleries
autoimmunity,autoimmunities
downscale,downscales
fissiparity,fissiparities
grub,grubs
sentiency,sentiencies
trophobiosis,trophobioses
algorithm,algorithms
familiarize,familiarizes
ophthalmology,ophthalmologies
whimsicality,whimsicalities
zizz,zizzs
liberty,liberties
abdominocentesis,abdominocenteses
splenomegaly,splenomegalies
laceration,lacerations
bindery,binderies
selenicereus,selenicereuss
canicular,caniculars
podocarpus,podocarpuss
missy,missies
oleaginousness,oleaginousnesses
gustatory,gustatories
father,fathers
medfly,medflies
trinketry,trinketries
profiteer,profiteers
viewless,viewlesses
muppim,muppims
harrod,harrods
tribulus,tribuluss
polypody,polypodies
mortality,mortalities
hysterectomy,hysterectomies
staginess,staginesses
gadgetry,gadgetries
biliousness,biliousnesses
justificatory,justificatories
palaeornithology,palaeornithologies
groundkeeper,groundkeepers
bluffness,bluffnesses
encephalartos,encephalartoss
reciprocality,reciprocalities
inequity,inequities
nursery,nurseries
birdwatch,birdwatches
responsibility,responsibilities
oversupply,oversupplies
vaporousness,vaporousnesses
milkwort,milkworts
polioptila,polioptilas
squabby,squabbies
falconry,falconries
envy,envies
sogginess,sogginesses
frowsy,frowsies
logicalness,logicalnesses
sagaciousness,sagaciousnesses
embarrass,embarrasses
phraseology,phraseologies
assailability,assailabilities
tensity,tensities
preponderate,preponderates
bitty,bitties
velocity,velocities
doubtfulness,doubtfulnesses
parturiency,parturiencies
hydrus,hydruss
mibsam,mibsams
ptoo,ptoos
canterbury,canterburies
slicer,slicers
bunny,bunnies
sticherus,sticheruss
kahn,kahns
ruralism,ruralisms
queue,queues
staunch,staunches
despond,desponds
shortcut,shortcuts
stepdaughter,stepdaughters
sketch,sketches
forthcomingness,forthcomingnesses
start,starts
tottery,totteries
scarabaeus,scarabaeuss
vinify,vinifies
tuneless,tunelesses
crosstie,crossties
syphilis,syphiliss
stenopelmatus,stenopelmatuss
theogony,theogonies
archiepiscopacy,archiepiscopacies
sanctity,sanctities
grill,grills
hydropathy,hydropathies
zeppo,zeppoes
calamus,calamuss
pincushion,pincushions
wallach,wallaches
hypnogenesis,hypnogeneses
twas,twass
hemodialyzer,hemodialyzers
bacteroidaceae,bacteroidaceaes
phalaropus,phalaropera
tablefork,tableforks
videlicet,videlicets
baptistery,baptisteries
impostor,impostors
panion,panions
hydromyinae,hydromyinaes
quiescency,quiescencies
dessiatine,dessiatines
trigger,triggers
anorthography,anorthographies
debtor,debtors
pinny,pinnies
woodsy,woodsies
recumb,recumbs
piracy,piracies
illicitness,illicitnesses
diestrus,diestruss
roneo,roneos
cosby,cosbies
reliability,reliabilities
schaffneria,schaffnerias
kalinin,kalinins
antlion,antlions
bugology,bugologies
advisory,advisories
try,tries
chelicerate,chelicerates
pinot,pinots
manus,manuss
cumarone,cumarones
truculence,truculences
replication,replications
quotability,quotabilities
tostada,tostadas
reabsorption,reabsorptions
multivalency,multivalencies
jezer,jezers
deception,deceptions
souse,souses
nucleosynthesis,nucleosyntheses
peaceably,peaceablies
temporize,temporizes
aggressiveness,aggressivenesses
trifurcation,trifurcations
rumple,rumples
papilla,papillas
limpidity,limpidities
ezbon,ezbons
assembly,assemblies
gelatinousness,gelatinousnesses
pollinosis,pollinoses
southwester,southwesters
abilene,abilenes
irreality,irrealities
university,universities
tastiness,tastinesses
tocology,tocologies
tularemia,tularemias
stonewash,stonewashes
invalidity,invalidities
breughel,breughels
isoantibody,isoantibodies
tethys,tethyss
chaplaincy,chaplaincies
orrisroot,orrisroots
phalangitis,phalangitis
silva,silvas
neotony,neotonies
amphibology,amphibologies
hermaphroditus,hermaphrodituss
monsieur,monsieurs
beseech,beseeches
pavage,pavages
shadowiness,shadowinesses
crisscross,crisscrosses
oximeter,oximeters
thermometry,thermometries
hostess,hostesses
haemoglobinopathy,haemoglobinopathies
ductileness,ductilenesses
apiculturist,apiculturists
varmint,varmints
dispatch,dispatches
aslant,aslants
jejunostomy,jejunostomies
cantillate,cantillates
carroty,carroties
scratchiness,scratchinesses
justify,justifies
doublespeak,doublespeaks
cowpox,cowpox
linnet,linnets
schoolmistress,schoolmistresses
bulbul,bulbuls
throaty,throaties
petechia,petechias
discompose,discomposes
lxxiii,lxxiiis
gallfly,gallflies
ps,pss
crockery,crockeries
camelus,cameluss
anemography,anemographies
emergency,emergencies
amrinone,amrinones
rickshaw,rickshaws
jaunty,jaunties
greco,grecoes
changefulness,changefulnesses
sabbat,sabbats
ibex,ibexes
whitecap,whitecaps
adviser,advisers
brooks,brookss
conclude,concludes
blowfly,blowflies
grapy,grapies
studiousness,studiousnesses
sialis,sialiss
verdancy,verdancies
tamias,tamiass
dood,doods
prepay,prepays
panty,panties
guiltlessness,guiltlessnesses
khalkha,khalkhas
patinise,patinises
ovaritis,ovaritis
matamoros,matamoross
inessentiality,inessentialities
bourgeois,bourgeois
knowledgeableness,knowledgeablenesses
gordius,gordiuss
smash,smashes
scarcity,scarcities
defensibility,defensibilities
poisonberry,poisonberries
bitts,bittss
methapyrilene,methapyrilenes
tossup,tossups
attainder,attainders
orbit,orbits
tranylcypromine,tranylcypromines
villainy,villainies
reassert,reasserts
litmus,litmuss
cloudy,cloudies
newspaper,newspapers
intent,intents
plicatoperipatus,plicatoperipatuss
immunity,immunities
propylthiouracil,propylthiouracils
shrubbery,shrubberies
phlebectomy,phlebectomies
swanky,swankies
snobbishness,snobbishnesses
lividness,lividnesses
senseless,senselesses
hayrig,hayrigs
echinococcus,echinococcuss
parishioner,parishioners
dukas,dukass
plateletpheresis,plateletphereses
arca,arcas
geophagy,geophagies
ornithology,ornithologies
spermy,spermies
cheerfulness,cheerfulnesses
stylomecon,stylomecons
vengefulness,vengefulnesses
devitalization,devitalizations
mignon,mignons
christology,christologies
kleptomania,kleptomanias
counterbalance,counterbalances
hypsography,hypsographies
thoroughness,thoroughnesses
adhocracy,adhocracies
upraise,upraises
photoflash,photoflashes
kandinsky,kandinskies
abbacy,abbacies
sedulity,sedulities
imperceptibility,imperceptibilities
inaudibleness,inaudiblenesses
airsickness,airsicknesses
crater,craters
contributor,contributors
pylodictus,pylodictuss
hah,hahs
gouty,gouties
allotropy,allotropies
fruity,fruities
defeatism,defeatisms
door,doors
erstwhile,erstwhiles
geniality,genialities
hypotonus,hypotonuss
journeys,journeyss
synchronicity,synchronicities
germy,germies
disinformation,disinformations
enterobiasis,enterobiases
pathogenesis,pathogeneses
suzerain,suzerains
nonabsorbency,nonabsorbencies
pavis,paviss
apocrine,apocrines
uvulitis,uvulitis
ctenocephalus,ctenocephaluss
inanimateness,inanimatenesses
taraktogenos,taraktogenoss
thyreophoran,thyreophorans
parquetry,parquetries
rationalist,rationalists
ulitis,ulitis
trionyx,trionyxes
bowery,boweries
materiality,materialities
pastry,pastries
committedness,committednesses
assiduity,assiduities
gadget,gadgets
hypophysectomy,hypophysectomies
testatrix,testatrices
chalcis,chalces
atopognosis,atopognoses
magnanimousness,magnanimousnesses
indument,induments
proficiency,proficiencies
floxuridine,floxuridines
pretty,pretties
klyuchevskaya,klyuchevskayas
zooplankton,zooplanktons
sodom,sodoms
callitris,callitriss
aneuploidy,aneuploidies
bawdy,bawdies
saracen,saracens
bris,briss
poss,posses
handbell,handbells
tendinitis,tendinitis
inexorableness,inexorablenesses
relatedness,relatednesses
steadfastness,steadfastnesses
verificatory,verificatories
tightfistedness,tightfistednesses
glean,gleans
myotis,myotiss
seagrass,seagrasses
gonorhynchus,gonorhynchuss
tarry,tarries
quinsy,quinsies
positiveness,positivenesses
verboseness,verbosenesses
splashiness,splashinesses
raamah,raamahs
combination,combinations
cytophotometry,cytophotometries
orangery,orangeries
atonement,atonements
courante,courantes
distinctness,distinctnesses
entomion,entomions
paltriness,paltrinesses
fetterbush,fetterbushes
divinatory,divinatories
thrombus,thrombuss
indecency,indecencies
community,communities
adulatory,adulatories
transmutability,transmutabilities
upcountry,upcountries
malopterurus,malopteruruss
trihydroxy,trihydroxies
borshch,borshches
perfluorocarbon,perfluorocarbons
characterizing,characterizings
ultramicroscope,ultramicroscopes
quebecois,quebecois
microwave,microwaves
holometaboly,holometabolies
householder,householders
connectedness,connectednesses
importunity,importunities
proctoscopy,proctoscopies
crispy,crispies
sorcery,sorceries
locker,lockers
weightless,weightlesses
occupancy,occupancies
onychosis,onychoses
ichthyosaurus,ichthyosauruss
sweltry,sweltries
decapterus,decapteruss
l,ls
rattle,rattles
jenny,jennies
sony,sonies
buttery,butteries
unbloody,unbloodies
panfish,panfish
ambergris,ambergriss
strut,struts
freelance,freelances
bawdry,bawdries
indefatigability,indefatigabilities
uncongeniality,uncongenialities
ascendency,ascendencies
leucaemia,leucaemias
touchwood,touchwoods
country,countries
curiousness,curiousnesses
flawlessness,flawlessnesses
natality,natalities
carnality,carnalities
scoop,scoops
waddler,waddlers
gadgetry,gadgetries
palace,palaces
learn,learns
playbox,playboxes
inefficacy,inefficacies
ringway,ringways
orczy,orczies
lyonnais,lyonnaiss
suppleness,supplenesses
ilx,ilxes
impreciseness,imprecisenesses
congratulate,congratulates
zapus,zapuss
sociobiology,sociobiologies
circinus,circinuss
chemisorption,chemisorptions
reproducibility,reproducibilities
lacertidae,lacertidaes
livy,livies
hypsiprymnodon,hypsiprymnodons
economy,economies
individuality,individualities
haftorah,haftorahs
seventeen,seventeens
appenzeller,appenzellers
tennis,tenniss
reentry,reentries
mucoviscidosis,mucoviscidoses
sorus,soruss
deactivate,deactivates
stolidness,stolidnesses
verticality,verticalities
suavity,suavities
cyrus,cyruss
restiveness,restivenesses
aegospotamos,aegospotamoss
sterculia,sterculias
leishmaniasis,leishmaniases
pieta,pietas
heterospory,heterospories
transgress,transgresses
sikh,sikhs
pule,pules
surfboat,surfboats
chummy,chummies
canid,canids
tubbiness,tubbinesses
arava,aravas
horology,horologies
nascency,nascencies
agrostis,agrostiss
shtup,shtups
watercolour,watercolours
eyecup,eyecups
tangibility,tangibilities
filiform,filiforms
latecomer,latecomers
esthesis,estheses
winch,winches
whimsy,whimsies
needer,needers
ambivalency,ambivalencies
vaccinator,vaccinators
knowingness,knowingnesses
fifty,fifties
crassitude,crassitudes
lucent,lucents
philology,philologies
chemosorption,chemosorptions
sociability,sociabilities
minority,minorities
secretary,secretaries
tarquinius,tarquiniuss
statewide,statewides
buspar,buspars
quench,quenches
tawniness,tawninesses
squeamishness,squeamishnesses
groundlessness,groundlessnesses
dostoyevsky,dostoyevskies
ursus,ursuss
jaggy,jaggies
chess,chesses
expeditiousness,expeditiousnesses
powerwash,powerwashes
pestilent,pestilents
vampire,vampires
anadiplosis,anadiploses
hieronymus,hieronymuss
redact,redacts
curatorship,curatorships
authority,authorities
metritis,metritis
meningoencephalitis,meningoencephalitis
briefless,brieflesses
biosynthesis,biosyntheses
bordello,bordelloes
tref,trefs
spray,sprays
negativeness,negativenesses
cowardliness,cowardlinesses
longevity,longevities
fussiness,fussinesses
sureness,surenesses
lanius,laniuss
admissibility,admissibilities
fes,fess
unavoidability,unavoidabilities
resolving,resolvings
headquarters,headquarters
taxability,taxabilities
fluidness,fluidnesses
generalcy,generalcies
euphrosyne,euphrosynes
ibidem,ibidems
vulturine,vulturines
calligraphy,calligraphies
contemporise,contemporises
output,outputs
remorseless,remorselesses
rhombus,rhombuss
sandarach,sandaraches
brainwash,brainwashes
leukotomy,leukotomies
smoothness,smoothnesses
monocracy,monocracies
slanginess,slanginesses
basle,basles
heliotherapy,heliotherapies
pilferage,pilferages
granadilla,granadillas
bottlebrush,bottlebrushes
gustation,gustations
putterer,putterers
ks,kss
washbasin,washbasins
acidimetry,acidimetries
animateness,animatenesses
daredevilry,daredevilries
philtre,philtres
epidemiology,epidemiologies
hubris,hubriss
availability,availabilities
impossibility,impossibilities
phrase,phrases
